sample	row	column	rep1	rep2	rep3	rep4
DL21	A	5	0,259499997	0,256199986	0,254099995	0,255699992
DL22	B	5	0,266299993	0,268099993	0,263399988	0,264099985
DL23	C	5	0,289499998	0,290800005	0,291099995	0,291700006
DL24	D	5	0,306100011	0,305700004	0,301099986	0,298400015
DL25	E	5	0,2315	0,229699999	0,228200004	0,2421
DL26	F	5	0,239299998	0,237299994	0,236699998	0,235400006
DL27	G	5	0,2359	0,236499995	0,237299994	0,234300002
DL28	H	5	0,25940001	0,262600005	0,259000003	0,258700013
DL21	A	6	0,244000003	0,241999999	0,240400001	0,244399995
DL22	B	6	0,257200003	0,264499992	0,25999999	0,255600005
DL23	C	6	0,304199994	0,303600013	0,30309999	0,305799991
DL24	D	6	0,234699994	0,236100003	0,234699994	0,232800007
DL25	E	6	0,240799993	0,238600001	0,2333	0,245900005
DL26	F	6	0,256799996	0,257699996	0,259200007	0,259299994
DL27	G	6	0,2773	0,279599994	0,281199992	0,278499991
DL28	H	6	0,226699993	0,228300005	0,226400003	0,2271
DL37	A	7	0,252499998	0,26030001	0,256500006	0,252700001
DL38	B	7	0,257800013	0,25819999	0,253600001	0,251800001
DL39	C	7	0,290499985	0,291000009	0,287900001	0,289499998
DL40	D	7	0,249200001	0,25150001	0,2491	0,248199999
DL41	E	7	0,2333	0,236200005	0,235400006	0,245199993
DL42	F	7	0,2597	0,259600013	0,264600009	0,261400014
DL43	G	7	0,282299995	0,282299995	0,282000005	0,283199996
DL44	H	7	0,256799996	0,256199986	0,260399997	0,256599993
DL37	A	8	0,224099994	0,2245	0,224800006	0,221499994
DL38	B	8	0,264800012	0,260800004	0,26030001	0,263300002
DL39	C	8	0,289400011	0,292400002	0,293799996	0,29550001
DL40	D	8	0,239099994	0,242599994	0,239800006	0,237200007
DL41	E	8	0,252299994	0,254999995	0,251599997	0,254099995
DL42	F	8	0,246800005	0,2447	0,240600005	0,251599997
DL43	G	8	0,252000004	0,257600009	0,255800009	0,263099998
DL44	H	8	0,226500005	0,224900007	0,230000004	0,227500007
DL53	A	9	0,260699987	0,259900004	0,248300001	0,250499994
DL54	B	9	0,263200015	0,265399992	0,268599987	0,266900003
DL55	C	9	0,30250001	0,30219999	0,298099995	0,303000003
DL56	D	9	0,192900002	0,193200007	0,193200007	0,192699999
DL57	E	9	0,229100004	0,228	0,226400003	0,242300004
DL58	F	9	0,255899996	0,253399998	0,255199999	0,252999991
DL59	G	9	0,259499997	0,257699996	0,257099986	0,256199986
DL60	H	9	0,267800003	0,270700008	0,266299993	0,277999997
DL53	A	10	0,268900007	0,271499991	0,266200006	0,266000003
DL54	B	10	0,266299993	0,266400009	0,268400013	0,266000003
DL55	C	10	0,291099995	0,296600014	0,286300004	0,288399994
DL56	D	10	0,200900003	0,2042	0,206499994	0,201399997
DL57	E	10	0,240999997	0,2403	0,240199998	0,249300003
DL58	F	10	0,261999995	0,259000003	0,25909999	0,25850001
DL59	G	10	0,247700006	0,247700006	0,249200001	0,247999996
DL60	H	10	0,254999995	0,256000012	0,256999999	0,267800003
DL69	A	11	0,299699992	0,30399999	0,297100008	0,296400011
DL70	B	11	0,271100014	0,269400001	0,26789999	0,26789999
DL71	C	11	0,314599991	0,319400012	0,314799994	0,318100005
DL72	D	11	0,310900003	0,316700011	0,3116	0,310699999
DL73	E	11	0,247299999	0,246800005	0,247600004	0,245399997
DL74	F	11	0,246399999	0,2447	0,243000001	0,243499994
DL75	G	11	0,269199997	0,26820001	0,269400001	0,26699999
DL76	H	11	0,25150001	0,2509	0,245900005	0,25029999
DL69	A	12	0,295300007	0,293199986	0,294	0,296099991
DL70	B	12	0,279599994	0,272599995	0,271499991	0,280099988
DL71	C	12	0,305599988	0,305400014	0,309300005	0,307000011
DL72	D	12	0,312099993	0,31220001	0,312900007	0,315499991
DL73	E	12	0,229100004	0,227300003	0,2289	0,230299994
DL74	F	12	0,254400015	0,252900004	0,251599997	0,253699988
DL75	G	12	0,287299991	0,285699993	0,288100004	0,28639999
DL76	H	12	0,247400001	0,2447	0,243799999	0,246299997
