sample	row	column	rep1	rep2	rep3	rep4
DL89	A	5	3,083	3,045	3,041	3,017
DL90	B	5	2,778	2,796	2,791	2,754
DL91	C	5	2,987	2,999	2,962	2,979
DL92	D	5	2,954	2,993	2,993	2,987
DL93	E	5	3,187	3,211	3,211	3,131
DL94	F	5	2,780	2,855	2,830	2,807
DL89	A	6	3,168	3,154	3,201	3,155
DL90	B	6	2,798	2,811	2,824	2,768
DL91	C	6	3,053	3,038	3,067	3,026
DL92	D	6	2,930	2,922	2,965	2,921
DL93	E	6	3,107	3,149	3,207	3,158
DL94	F	6	2,746	2,814	2,796	2,777
DL101	A	7	2,344	2,305	2,299	2,313
DL102	B	7	2,134	2,138	2,134	2,137
DL103	C	7	3,013	3,010	3,002	2,993
DL104	D	7	2,935	2,929	2,949	2,939
DL105	E	7	2,923	2,924	2,943	2,942
DL106	F	7	2,518	2,547	2,559	2,522
DL101	A	8	2,380	2,379	2,382	2,364
DL102	B	8	2,163	2,170	2,164	2,155
DL103	C	8	2,932	2,963	2,964	2,962
DL104	D	8	2,957	2,917	2,944	2,931
DL105	E	8	2,825	2,796	2,811	2,818
DL106	F	8	2,499	2,524	2,522	2,511
DL113	A	9	3,694	3,786	3,788	3,597
DL114	B	9	3,231	3,342	3,344	3,281
DL115	C	9	3,782	3,762	3,920	3,772
DL116	D	9	3,792	3,998		3,957
DL117	E	9	3,902	3,889		3,822
DL118	F	9	3,678	3,745	3,964	3,698
DL113	A	10	3,593	3,583	3,684	3,562
DL114	B	10	3,316	3,353	3,328	3,307
DL115	C	10	3,805	3,815		3,958
DL116	D	10	3,946	3,931	3,974	
DL117	E	10	3,845	3,993		3,758
DL118	F	10	3,828	3,922		3,800
DL125	A	11	2,739	2,716	2,759	2,709
DL126	B	11	2,191	2,189	2,227	2,191
DL127	C	11	3,850	3,844	3,898	3,712
DL128	D	11	3,858		3,718	3,808
DL129	E	11	3,943	3,828		3,692
DL130	F	11	3,876			3,792
DL125	A	12	2,718	2,732	2,738	2,677
DL126	B	12	2,179	2,199	2,224	2,188
DL127	C	12	3,996		3,696	3,675
DL128	D	12	3,752	3,832	3,933	3,880
DL129	E	12	3,678	3,887		3,894
DL130	F	12	3,770	3,686	3,657	3,624
