sample	row	column	rep1	rep2	rep3	rep4
DL21	A	5	0,0447	0,047400001	0,046300001	0,0462
DL22	B	5	0,0462	0,0471	0,045699999	0,046599999
DL23	C	5	2,483799934	2,481699944	2,485599995	2,465300083
DL24	D	5	2,489200115	2,502099991	2,506500006	2,497999907
DL25	E	5	0,044	0,043400001	0,044399999	0,044
DL26	F	5	0,041099999	0,043499999	0,0416	0,0427
DL27	G	5	0,693300009	0,693300009	0,695500016	0,692799985
DL28	H	5	0,720000029	0,704599977	0,70539999	0,710500002
DL21	A	6	0,0484	0,056699999	0,056000002	0,066399999
DL22	B	6	0,045600001	0,0469	0,045600001	0,046799999
DL23	C	6	2,493799925	2,502599955	2,493099928	2,486099958
DL24	D	6	2,536799908	2,546200037	2,534399986	2,553900003
DL25	E	6	0,045400001	0,042800002	0,043299999	0,044199999
DL26	F	6	0,0418	0,044599999	0,041999999	0,043299999
DL27	G	6	0,711000025	0,709900022	0,710099995	0,70599997
DL28	H	6	0,720000029	0,708500028	0,704100013	0,710399985
DL37	A	7	0,049199998	0,051399998	0,049199998	0,0502
DL38	B	7	0,0447	0,0458	0,043900002	0,045200001
DL39	C	7	1,765699983	1,756100059	1,768000007	1,769899964
DL40	D	7	1,792000055	1,796599984	1,803300023	1,806300044
DL41	E	7	0,047400001	0,045600001	0,046300001	0,046399999
DL42	F	7	0,046	0,048	0,046100002	0,047200002
DL43	G	7	0,702400029	0,702300012	0,700100005	0,700299978
DL44	H	7	0,706200004	0,705799997	0,707599998	0,702499986
DL37	A	8	0,048500001	0,0513	0,0491	0,050299998
DL38	B	8	0,045000002	0,045699999	0,0447	0,046
DL39	C	8	1,862400055	1,865700006	1,869300008	1,858899951
DL40	D	8	1,793799996	1,799600005	1,80309999	1,803900003
DL41	E	8	0,046999998	0,047200002	0,046399999	0,047200002
DL42	F	8	0,046	0,0482	0,046599999	0,047699999
DL43	G	8	0,688399971	0,686200023	0,684700012	0,69630003
DL44	H	8	0,720499992	0,718400002	0,721599996	0,716499984
DL53	A	9	0,050299998	0,052900001	0,051399998	0,052700002
DL54	B	9	0,0504	0,049800001	0,050700001	0,052499998
DL55	C	9	2,635400057	2,631400108	2,626600027	2,642199993
DL56	D	9	2,529299974	2,535700083	2,545599937	2,530200005
DL57	E	9	0,059999999	0,069200002	0,062700003	0,0744
DL58	F	9	0,064000003	0,068999998	0,067900002	0,077100001
DL59	G	9	1,48969996	1,486199975	1,490700006	1,488299966
DL60	H	9	1,541100025	1,537700057	1,551399946	1,549999952
DL53	A	10	0,0513	0,0537	0,052200001	0,053100001
DL54	B	10	0,0515	0,050799999	0,051399998	0,053300001
DL55	C	10	2,642199993	2,634399891	2,64470005	2,646800041
DL56	D	10	2,542599916	2,545700073	2,550299883	2,55250001
DL57	E	10	0,0605	0,075199999	0,060899999	0,065300003
DL58	F	10	0,063600004	0,071900003	0,059999999	0,075000003
DL59	G	10	1,51760006	1,501999974	1,518300056	1,514199972
DL60	H	10	1,543900013	1,550500035	1,550099969	1,554499984
DL69	A	11	0,048700001	0,0484	0,048900001	0,049400002
DL70	B	11	0,048999999	0,048599999	0,0484	0,049699999
DL71	C	11	1,611500025	1,609799981	1,610700011	1,615300059
DL72	D	11	1,422799945	1,418900013	1,41929996	1,420600057
DL73	E	11	0,060600001	0,072999999	0,060899999	0,0748
DL74	F	11	0,061299998	0,069300003	0,062399998	0,077500001
DL75	G	11	1,494300008	1,497200012	1,501099944	1,506399989
DL76	H	11	1,560400009	1,566400051	1,566900015	1,557500005
DL69	A	12	0,048999999	0,047400001	0,048500001	0,048999999
DL70	B	12	0,049199998	0,047400001	0,0484	0,048900001
DL71	C	12	1,646800041	1,641299963	1,645300031	1,644199967
DL72	D	12	1,443400025	1,440400004	1,440099955	1,437700033
DL73	E	12	0,061099999	0,069200002	0,062600002	0,076700002
DL74	F	12	0,0623	0,066200003	0,064800002	0,072499998
DL75	G	12	1,516199946	1,514999986	1,51820004	1,523499966
DL76	H	12	1,533300042	1,530200005	1,53670001	1,54369998
