sample	row	column	rep1	rep2	rep3	rep4
DL21	A	5	0,883300006	0,870599985	0,907299995	0,938300014
DL22	B	5	0,981000006	0,976999998	0,96420002	0,975399971
DL23	C	5	2,950999975	2,959500074	2,98210001	2,943599939
DL24	D	5	2,975600004	2,990999937	3,02850008	2,973799944
DL25	E	5	0,48210001	0,478399992	0,466800004	0,476599991
DL26	F	5	0,474000007	0,473100007	0,466600001	0,468499988
DL27	G	5	0,794799984	0,792599976	0,793099999	0,78579998
DL28	H	5	0,79610002	0,788600028	0,784699976	0,793200016
DL21	A	6	0,908900023	0,895699978	0,967899978	0,966400027
DL22	B	6	0,941399992	0,922500014	0,931400001	0,960500002
DL23	C	6	2,960200071	2,975899935	3,032700062	3,00270009
DL24	D	6	3,009399891	3,016900063	3,086199999	3,021800041
DL25	E	6	0,464300007	0,458400011	0,457500011	0,474799991
DL26	F	6	0,497999996	0,503300011	0,506099999	0,500800014
DL27	G	6	0,805700004	0,801500022	0,802999973	0,802900016
DL28	H	6	0,784799993	0,791000009	0,78549999	0,78670001
DL37	A	7	0,717199981	0,686399996	0,742200017	0,776600003
DL38	B	7	0,769400001	0,778599977	0,773699999	0,787699997
DL39	C	7	2,032099962	2,061500072	2,095200062	2,073199987
DL40	D	7	2,124200106	2,124799967	2,139300108	2,131400108
DL41	E	7	0,422899991	0,4199	0,426200002	0,428799987
DL42	F	7	0,448399991	0,441599995	0,442299992	0,450800002
DL43	G	7	0,79369998	0,791800022	0,796000004	0,786899984
DL44	H	7	0,791299999	0,789499998	0,803499997	0,798300028
DL37	A	8	0,691600025	0,672100008	0,68779999	0,689400017
DL38	B	8	0,771700025	0,756500006	0,772300005	0,791100025
DL39	C	8	2,105000019	2,120399952	2,14470005	2,101700068
DL40	D	8	2,118900061	2,122999907	2,136100054	2,111099958
DL41	E	8	0,417299986	0,405499995	0,400900006	0,415800005
DL42	F	8	0,432300001	0,421499997	0,4208	0,430200011
DL43	G	8	0,777899981	0,787299991	0,787199974	0,780200005
DL44	H	8	0,79549998	0,790199995	0,802699983	0,801400006
DL53	A	9	1,162700057	1,161900043	1,24940002	1,217700005
DL54	B	9	1,404899955	1,390200019	1,359400034	1,400500059
DL55	C	9	3,13560009	3,086199999	3,155800104	3,085000038
DL56	D	9	2,989099979	2,990600109	2,996299982	2,981899977
DL57	E	9	0,944800019	0,968500018	0,971700013	0,970600009
DL58	F	9	1,000200033	0,997600019	1,002099991	1,015699983
DL59	G	9	1,691699982	1,698699951	1,707599998	1,703299999
DL60	H	9	1,730599999	1,729200006	1,731299996	1,72300005
DL53	A	10	1,095100045	1,090000033	1,108299971	1,12559998
DL54	B	10	1,434999943	1,433899999	1,431200027	1,436400056
DL55	C	10	3,066400051	3,064399958	3,108299971	3,02609992
DL56	D	10	3,025899887	3,049499989	3,027100086	2,986099958
DL57	E	10	0,815699995	0,85589999	0,861899972	0,828499973
DL58	F	10	0,980400026	0,991100013	0,992500007	0,981299996
DL59	G	10	1,747499943	1,739199996	1,737900019	1,753100038
DL60	H	10	1,743499994	1,738299966	1,747599959	1,742300034
DL69	A	11	0,89319998	0,870100021	0,883899987	0,905900002
DL70	B	11	1,280400038	1,278300047	1,32280004	1,308300018
DL71	C	11	1,829900026	1,858100057	1,881100059	1,83949995
DL72	D	11	1,631000042	1,628700018	1,629999995	1,620300055
DL73	E	11	0,9296	0,938600004	0,944400012	0,940999985
DL74	F	11	1,073699951	1,066799998	1,061400056	1,074800014
DL75	G	11	1,737200022	1,720900059	1,720999956	1,746899962
DL76	H	11	1,733299971	1,750699997	1,761899948	1,761399984
DL69	A	12	0,905200005	0,890799999	0,924300015	0,927600026
DL70	B	12	1,365300059	1,335399985	1,365800023	1,379099965
DL71	C	12	1,862499952	1,88409996	1,899799943	1,857200027
DL72	D	12	1,632799983	1,657799959	1,665400028	1,634199977
DL73	E	12	1,049200058	1,052899957	1,046800017	1,053200006
DL74	F	12	1,185400009	1,162299991	1,16079998	1,175500035
DL75	G	12	1,704300046	1,726099968	1,720100045	1,724499941
DL76	H	12	1,699699998	1,726099968	1,72329998	1,731600046
