standard	concentration	row	column	M1_rep1	M1_rep2	M1_rep3	M1_rep4	M2_rep1	M2_rep2	M2_rep3	M2_rep4
NO2	200	A	1	2,7262001	2,6982999	2,7142000	2,6875999	3,1084001	3,1025000	3,0785000	3,0622001
NO2	150	B	1	2,0994999	2,0983000	2,0904000	2,0922000	2,4107001	2,4161000	2,4223001	2,4205000
NO2	100	C	1	1,4849000	1,4849000	1,4910001	1,4881999	1,6969000	1,6877000	1,6954000	1,6849000
NO2	50	D	1	0,8470000	0,8483000	0,8500000	0,8510000	0,9071000	0,9086000	0,9054000	0,9028000
NO2	25	E	1	0,4757000	0,4770000	0,4740000	0,4749000	0,5098000	0,5109000	0,5099000	0,5086000
NO2	12,5	F	1	0,2634000	0,2649000	0,2643000	0,2641000	0,2998000	0,2998000	0,2990000	0,3013000
NO2	6,25	G	1	0,1650000	0,1528000	0,1538000	0,1553000	0,2140000	0,2147000	0,2139000	0,2136000
NO2	0	H	1	0,0405000	0,0411000	0,0402000	0,0408000	0,0911000	0,0912000	0,0919000	0,1003000
NO2	200	A	2	2,6687000	2,6565001	2,6775999	2,6442001	3,0732000	3,0455999	3,0518000	3,0574000
NO2	150	B	2	2,1214001	2,1248000	2,1301000	2,1210999	2,4851999	2,4993000	2,5063000	2,4839001
NO2	100	C	2	1,4636000	1,4672000	1,4643000	1,4692000	1,7187001	1,7138000	1,7416000	1,7480000
NO2	50	D	2	0,8567000	0,8568000	0,8579000	0,8538000	0,9413000	0,9399000	0,9407000	0,9461000
NO2	25	E	2	0,4769000	0,4779000	0,4781000	0,4762000	0,5245000	0,5222000	0,5237000	0,5240000
NO2	12,5	F	2	0,2694000	0,2714000	0,2711000	0,2711000	0,3141000	0,3239000	0,3131000	0,3134000
NO2	6,25	G	2	0,1555000	0,1533000	0,1547000	0,1549000	0,2101000	0,2111000	0,2275000	0,2125000
NO2	0	H	2	0,0393000	0,0419000	0,0402000	0,0411000	0,0907000	0,0901000	0,0904000	0,0921000
NO3	200	A	3	0,0410000	0,0402000	0,0380000	0,0407000	1,7435000	1,7610000	1,7696000	1,7434000
NO3	150	B	3	0,0397000	0,0406000	0,0381000	0,0394000	1,3010000	1,2882000	1,2810000	1,2903000
NO3	100	C	3	0,0385000	0,0400000	0,0395000	0,0395000	0,8903000	0,8846000	0,9062000	0,8994000
NO3	50	D	3	0,0399000	0,0400000	0,0399000	0,0400000	0,4690000	0,4767000	0,4837000	0,4844000
NO3	25	E	3	0,0387000	0,0407000	0,0380000	0,0394000	0,3031000	0,3059000	0,3063000	0,3081000
NO3	12,5	F	3	0,0393000	0,0390000	0,0394000	0,0405000	0,2058000	0,2049000	0,2031000	0,2069000
NO3	6,25	G	3	0,0399000	0,0416000	0,0387000	0,0419000	0,1438000	0,1467000	0,1462000	0,1444000
NO3	0	H	3	0,0402000	0,0404000	0,0401000	0,0405000	0,0903000	0,0903000	0,0905000	0,0900000
NO3	200	A	4	0,0378000	0,0404000	0,0394000	0,0391000	1,8184000	1,8234000	1,8321000	1,8216000
NO3	150	B	4	0,0402000	0,0408000	0,0400000	0,0395000	1,3224000	1,3206000	1,3266000	1,3300000
NO3	100	C	4	0,0389000	0,0399000	0,0392000	0,0396000	0,9065000	0,9056000	0,9015000	0,9106000
NO3	50	D	4	0,0388000	0,0397000	0,0390000	0,0407000	0,4782000	0,4769000	0,4623000	0,4706000
NO3	25	E	4	0,0380000	0,0408000	0,0395000	0,0396000	0,2930000	0,2808000	0,2743000	0,3001000
NO3	12,5	F	4	0,0388000	0,0406000	0,0399000	0,0407000	0,2081000	0,2087000	0,2058000	0,2070000
NO3	6,25	G	4	0,0384000	0,0406000	0,0406000	0,0420000	0,1434000	0,1447000	0,1433000	0,1423000
NO3	0	H	4	0,0393000	0,0406000	0,0398000	0,0404000	0,0874000	0,0882000	0,0879000	0,0870000
NH4	200	A	3	0,6327000	0,6217000	0,6098000	0,6190000				
NH4	150	B	3	0,5227000	0,5263000	0,5260000	0,5206000				
NH4	100	C	3	0,4403000	0,4363000	0,4396000	0,4425000				
NH4	50	D	3	0,3271000	0,3294000	0,3324000	0,3306000				
NH4	25	E	3	0,2794000	0,2817000	0,2773000	0,2758000				
NH4	12,5	F	3	0,2735000	0,2737000	0,2731000	0,2730000				
NH4	6,25	G	3	0,2538000	0,2477000	0,2400000	0,2441000				
NH4	0	H	3	0,2351000	0,2348000	0,2406000	0,2395000				
NH4	200	A	4	0,6628000	0,6659000	0,6668000	0,6671000				
NH4	150	B	4	0,5713000	0,5800000	0,5730000	0,5696000				
NH4	100	C	4	0,4406000	0,4441000	0,4439000	0,4433000				
NH4	50	D	4	0,3143000	0,3176000	0,3141000	0,3121000				
NH4	25	E	4	0,2805000	0,2856000	0,2819000	0,2791000				
NH4	12,5	F	4	0,2911000	0,2917000	0,2890000	0,2893000				
NH4	6,25	G	4	0,2599000	0,2627000	0,2628000	0,2615000				
NH4	0	H	4	0,2443000	0,2441000	0,2433000	0,2465000				
